词语,全拼音,同形,主前后,副名,副数量,重复,连接,重叠,兼类,备注
挨个,ai1ge4,,,,,,,,,顺次:大家~走
安然,an1ran2,,,,,,,,,弟弟~归来
按理,an4li3,,前,,,,,,,~这个问题不难解决
按期,an4qi1,,,,,,,,,学生都~回校了
按时,an4shi2,,,,,,,,,工作~完成了
暗暗,an4an4,,,,,,,,,他~下定决心
暗中,an4zhong1,,,,,,,,s,他~捣鬼/他在~张望(s)
暗自,an4zi4,,,,,,,,,他~决定今年报考硕士生
傲然,ao4ran2,,,,,,,,,~挺立
白,bai2,,,,,,,DD,av,"毫无效果,徒然:你~费力气/不给报偿:他~吃~拿别人东西"
白白,bai2bai2,,,,,,,,,"没有效果,徒然:他~跑了一趟"
保不定,bao3bu5ding4,,前,,,,,,,"难免,可能:~天要下雨"
备不住,bei4bu5zhu4,,前,,,,,,,"或许,说不定:~他回家了"
倍加,bei4jia1,,,,,,,,,领导对他~信赖
被迫,bei4po4,,,,,,,,b,"他~离开家了/这件事,他是~的(b)"
本,ben3,,,,,,,,qr,"原先,先前:他~姓王,后来跟他妈妈姓"
本当,ben3dang1,,前,,可,,,,,"~三个人才能完成的活,现在一人完成了"
本来,ben3lai2,,前,,,,,,b,~我不打算回家/我~在武汉工作/这次会议~就应该你去
比较,bi3jiao4,,,,,,,,vp,他干事~快
必,bi4,,,,,,,,,"必须,一定要:骄者~败/一定:实验~能成功"
必定,bi4ding4,,,,,,,,,"一定,必然:我看~有问题/准:明天我~去一次"
必将,bi4jiang1,,,,,,,,,帝国主义~灭亡
必然,bi4ran2,,,,,,,,b,蒋介石~失败
必须,bi4xu1,,前,,可,,,,,"必要,一定要:这件事别人办不了,~你亲自去/要完成这件事~三天"
毕竟,bi4jing4,,前,,可,,,,,这件事~搞清楚了/~30岁人了
便,bian4,,,,,,连,,,"就:不久,天~亮了/只要发动群众,~能克服一切困难"
别,bie2,,前,,,,,,v,~一个人说了算/~大声说话/你~去了
秉公,bing3gong1,,,,,,,,,这个案子~办理
并,bing4,,,,,,,,c,工作~没有结束/这两件事不能相提~论
并肩,bing4jian1,,,,,,,,,他们俩人~走来
并排,bing4pai2,,,,,,,,,他们三人~走
不,bu4,,,,,可,连,,,"~发动群众,工作就不好做/~生病才好/~看~知道"
不定,bu4ding4,,,,可,,,,,~几年才能……/~被老师发现了
不断,bu4duan4,,,,,,,,,植物~长新叶子
不妨,bu4fang1,,,,,,,,v,~走一趟/你去见见也~(v)
不过,bu4guo4,,,,可,,,,c,他也~30岁
不见得,bu4jian4de2,,前,,,,,,,不一定:~他不来
不禁,bu4jin1,,,,,,,,,抑制不住:大家~哈哈大笑起来
不愧,bu4kui4,,,,,,,,,我们的党~为伟大的党
不巧,bu4qiao3,,前,,,,,,,~我爸爸出门了
不慎,bu4shen4,,,,,,,,,我~丢了书包
不胜,bu4sheng4,,,,,,,,,"非常,十分:我们~感谢"
不时,bu4shi2,,,,,,,,,时时:他~打量着我们
不意,bu4yi4,,前,,,,,,,"不料:~大雨如注,大家无法春游"
不由得,bu4you2de5,,前,,,,,,,不禁:大家~笑起来了/不容:~你不信服
不再,bu4zai4,,,,,,,,,小孩从此~打架了
不曾,bu4ceng2,,,,,,,,,他~来过北大
不住,bu4zhu4,,,,,,,,,~地咳嗽
才,cai2,,,,可,,连,,n,"你~来,怎么就走呢/只有……才;除非……才/~10岁"
草草,cao3cao3,,,,,,,,,~结束了/~看了一遍
刹时,cha4shi2,,前,,,,,,,"一刹那,一眨眼:~天空乌云密布"
差点儿,cha4dianr3,,前,,,,,,,~他就能考上北大了
长期,chang2qi1,,,,,,,,b,他~工作在井下/~的考验(b)
常,chang2,,前,,可,,,DD,,(他)~一个人坐在那儿
常常,chang2chang2,,前,,可,,,,,他~一个人出去
常年,chang2nian2,,,,,,,,,他~战斗在第一线/~的劳动
彻夜,che4ye4,,,,,,,,,他~不眠
趁便,chen4bian4,,前,,,,,,,顺便:我~回家了一次/~我回了一次家
趁机,chen4ji1,,,,,,,,,他~走了
趁势,chen4shi4,,,,,,,,,~把球踢出界外
趁早,chen4zao3,,,,,,,,,尽快:我们~把事情做完
成倍,cheng2bei4,,,,,,,,,物价~增长
成天,cheng2tian1,,,,,,,,,~忙碌
成心,cheng2xin1,,,,,,,,b,你这不是~吗?/他~干坏事
诚然,cheng2ran2,,,,,,,,c,"果然;确实;真的:江南地区河网纵横,~是个鱼米之乡"
乘机,cheng2ji1,,,,,,,,,~逃脱/~反扑
乘势,cheng2shi4,,,,,,,,,就势:~进击
乘隙,cheng2xi4,,,,,,,,,趁机会;利用空子:战士们~找个地方睡下了/~休整
乘兴,cheng2xing4,,,,,,,,,~而来
迟迟,chi2chi2,,,,,,,,,这个问题~得不到解决
迟早,chi2zao3,,前,,,,,,,终究;早晚;或早或晚:~问题会解决的
初,chu1,,,,,,,,fm,我~到这里真不习惯/~学日语
初步,chu1bu4,,,,,,,,b,~的议论/~解决了
初次,chu1ci4,,,,,,,,,~上战场
处处,chu4chu4,,,,,,,,,~有矛盾
匆匆,cong1cong1,,,,,,,,,~而来又~离去/他~吃完饭就走了
从,cong2,,,,,,,,p,~没有听说过
从此,cong2ci3,,前,,,,,,,~我们成了好朋友/中国人民~站起来了
从来,cong2lai2,,,,,,,,,一向;一直:这人~说话算数/我~没听说过他
从速,cong2su4,,,,,,,,,~处理
从头,cong2tou2,,,,,,,,,~做起
从未,cong2wei4,,,,,,,,,~干过坏事
从中,cong2zhong1,,前,,,,,,,~他得到好处
存心,cun2xin1,,,,,,,,v,有意;故意:他~捣乱/不知他存着什么心(v)
大大,da4da4,,,,,,,,,~加快建设速度
大抵,da4di3,,,,,,,,,~相同
大都,da4dou1,,,,可,,,,,~30多岁了
大多,da4duo1,,,,可,,,,,同学们~3点钟就来了
大概,da4gai4,,前,,可,,,,n,小张~30岁了/~他走了
大举,da4ju3,,,,,,,,,~进攻
大力,da4li4,,,,,,,,,~纠正不正之风
大约,da4yue1,,前,,可,,,,,~他有30岁了
大致,da4zhi4,,,,可,,,,b,~可以通过/~相同
单,dan1,,,可,可,,,DD,b,~他一个人就取得了3项冠军/他们~一个班就为国家创收3亿元
单单,dan1dan1,,,可,可,,,,,
单独,dan1du2,,前,,可,,,,b,"修饰的数量词其数词限于""一""/我们俩~谈谈/~一个人休息"
当场,dang1chang3,,,,,,,,,~抓住/~表演
当即,dang1ji2,,,,,,,,,~走了/~提出疑问
当面,dang1mian4,,,,,,,,,~说了/小李~提出三点疑问
当然,dang1ran2,,前,,可,,连,,b,"~他也可以去/皮货~暖和,可是太贵/既然你们都去,我~也去"
当真,dang4zhen1,,前,,可,,,,v,确实;果然:他~送来了/他~30岁了
当众,dang1zhong4,,,,,,,,,大家~把意见说出来
倒,dao4,,,,,,连,,v,"质量~挺好,就是价钱贵点儿/他虽然有病,精神~还不错"
到处,dao4chu4,,,,,,,,,祖国大地~充满着欢乐
到底,dao4di3,,前,,可,,,,v,"终于,毕竟;究竟:~你用了几块钱/数词限于""几"""
登时,deng1shi2,,前,,,,,,,"立刻,一下子:教室里~安静下来"
低声,di1sheng1,,,,,,,,,~说话
的确,di2que4,,前,,可,,,AABB,,"~3岁了/我~佩服/~,他是一个坚强的人"
顶多,ding3duo1,,前,,可,,,,,~300人
定期,ding4qi1,,,,,,,,b,~检查卫生/~刊物(b)
定然,ding4ran2,,,,,,,,,他~会回来
定向,ding4xiang4,,,,,,,,b,~培养/~招生/~天线(b)
动不动,dong4bu5dong4,,前,,,,,,,~他就吓唬人
陡然,dou3ran2,,,,,,,,,突然:天气~冷下来
都,dou1,,,可,可,,连,,,"~大学生了/不论别人怎样说,他~坚持走自己的路"
独,du2,,,,,,,DD,,~有他没有来/~~站了3分钟
独独,du2du2,,前,,可,,,,,"~他一人在家;只,仅仅:~三个人安然无事"
独个儿,du2ger4,,,,,,,,,他~坐着
独力,du2li4,,,,,,,,,小李~经营
独自,du2zi4,,,,可,,,,,"数词限于""一""/~一人"
断然,duan4ran2,,,,,,,,b,我方~拒绝/采取~措施
顿然,dun4ran2,,,,,,,,,"忽然,突然:话音刚落,~响起一片掌声/~醒悟"
顿时,dun4shi2,,前,,,,,,,立刻;一下子:全场~响起一阵掌声/~天上乌云滚滚
多半,duo1ban4,,前,,,,,,m,工具书~是自己买的/小李~不来了
多方,duo1fang1,,,,,,,,,~想办法
多么,duo1me5,,,,,,,,,~好啊
而后,er2hou4,,前,,,,,,,然后:确有把握~动手
而今,er2jin1,,前,,,,,,,~他长大了/如今
凡,fan2,,前,可,可,,,,,"所有:常与""都"",""均""配合使用/~符合条件的人均可报名;总共,一共:致力国民革命~40年"
