词语,全拼音,前方,后方,在方,到方,往方,前介,时处,兼类,备注
北,bei3,,,否,否,,,处,,东~/~边
北边,bei3bian5,否,否,,,,"在,朝",处,,
北部,bei3bu4,否,否,,,,"在,朝",处,,
北方,bei3fang1,否,否,,,,"在,向",处,s,
北面,bei3mian4,否,否,,,,"在,朝",处,,朝学校~走
背后,bei4hou4,否,否,,,,在,处,,
背面,bei4mian4,否,否,,,,在,处,,
边,bian5,,否,否,否,否,在,处,,
侧面,ce4mian4,否,否,,,,"在,朝",处,,朝房子~看
当中,dang1zhong1,否,否,,否,,"在,朝,向",兼,,向水塘~射击/到群众~看看
底,di3,否,,否,,否,在,兼,,~下/十二月~/年~
底下,di3xia5,否,否,,,,"在,朝",处,,朝山脚~看
东,dong1,否,,否,否,,,处,,
东北,dong1bei3,否,,,,,"在,朝",处,,~边/朝村子~方向看
东边,dong1bian5,否,否,,,,"在,朝",处,,
东方,dong1fang1,否,否,,,,"在,向",处,s,在世界~
东面,dong1mian4,否,否,,,,"在,朝",处,,
东南,dong1nan2,否,,,,,"在,朝",处,,"在学校~(面,方)/从西北到~/~边"
东头,dong1tou5,否,否,,,,"在,朝",处,,朝村子~走了
对面,dui4mian4,否,否,,,,"在,朝",处,,朝长江~看
跟前,gen1qian2,否,否,,,,在,处,,
后,hou4,否,,,否,,"在,朝",兼,d,"在春节~/朝身~看/班长在队伍前面指挥,副班长在~压阵"
后边,hou4bian5,否,否,,,,"在,朝",处,,朝山~走
后面,hou4mian5,否,否,,,,"在,朝",处,,
间,jian1,否,否,否,否,否,在,兼,q,"指处所时需加""之""/两村之~/指关系时可以不加""之""/夫妻~/同学~"
里,li3,否,,否,否,,"在,朝",兼,q,~屋/城~/四月~/~边/在人群~
里边,li3bian5,否,否,,,,"在,朝",处,,朝院子~看
里面,li3mian4,否,否,,,,"在,朝",处,,
里头,li3tou5,否,否,,,,"在,朝",处,,
两边,liang3bian1,否,否,,,,"在,朝",处,,"朝小船~看看,防止水漫进来"
两旁,liang3pang2,否,否,,,,"在,朝",处,,朝马路~看
末,mo4,否,否,否,否,否,在,时,,在月~之前完成
末期,mo4qi1,否,否,,,否,在,时,,在清代~
内,nei4,否,否,,否,否,"向,在",兼,,向国~投资的人越来越多
南,nan2,,,否,否,,,处,,东~/~边
南边,nan2bian5,否,否,,,,"在,朝",处,,
南部,nan2bu4,否,否,,,,"在,朝",处,,
南方,nan2fang1,否,否,,,,"在,向",处,s,
南麓,nan2lu4,否,否,否,,,在,处,,在秦岭~看
南面,nan2mian4,否,否,,,,"在,朝",处,,
旁,pang2,否,,否,否,否,在,处,,"在池塘~边钓鱼/他在母亲身~,服侍母亲"
旁边,pang2bian1,否,否,,,,在,处,,
期间,qi1jian1,否,否,否,否,否,在,时,,中秋节~/在寒假~回家看看
前,qian2,否,,否,否,,"在,朝",兼,,~边
前边,qian2bian5,否,否,,,,"在,朝",处,,朝古庙~走
前后,qian2hou4,否,否,否,否,否,在,兼,,国庆~/在春节~放假
前面,qian2mian5,否,否,,,,"在,朝",处,,
前头,qian2tou5,否,否,,,,"在,朝",处,,
前夕,qian2xi1,否,否,否,否,否,在,时,,
上,shang4,否,,否,否,,"在,朝",兼,v,~星期/~半年/~边
上边,shang4bian5,否,否,,,,在,处,,
上部,shang4bu4,否,否,,,,在,处,,
上层,shang4ceng2,否,否,,,,在,处,,
上端,shang4duan1,否,否,,,,在,处,,
上面,shang4mian5,否,否,,,,"在,朝",处,,
四面,si4mian4,否,否,,否,,在,处,,
外,wai4,否,,,否,,"在,朝",处,,
外边,wai4bian5,否,否,,,,在,处,,表面:衣服~再套一件
外面,wai4mian5,否,否,,,,在,处,,外边:窗户~
外头,wai4tou5,否,否,,,,在,处,,~有人/他在~工作
西,xi1,否,,否,否,,,处,,
西北,xi1bei3,否,,,,,"在,朝",处,,朝天津~方向走
西边,xi1bian5,否,否,,,,"在,朝",处,,
西部,xi1bu4,否,否,,,,"在,朝",处,,
西方,xi1fang1,否,否,,,,"在,向",处,s,
西面,xi1mian4,否,否,,,,"在,朝",处,,
西南,xi1nan2,否,,,,,"在,朝",处,,
西头,xi1tou5,否,否,,,,"在,朝",处,,朝街道~走
下,xia4,否,,否,否,,"在,朝",处,vq,~学期
下边,xia4bian5,否,否,,,,"在,朝",处,,朝大堤~看
下层,xia4ceng2,否,否,,,,在,处,,
下方,xia4fang1,,否,,,,在,处,,左~
下面,xia4mian5,否,否,,,,"在,朝",处,,
以北,yi3bei3,否,否,否,否,否,在,处,,
以东,yi3dong1,否,否,否,否,否,在,处,,
以后,yi3hou4,否,否,否,,否,在,兼,,晚饭~/九月~/13排~
以来,yi3lai2,否,否,否,否,否,在,时,,这在五四运动~是少见的
以内,yi3nei4,否,否,否,否,否,在,兼,,
以南,yi3nan2,否,否,否,否,否,在,处,,
以前,yi3qian2,否,否,,否,否,在,兼,,春节~/晚饭~/40名~录取北京大学
以上,yi3shang4,否,否,否,否,否,在,兼,,
以外,yi3wai4,否,否,否,否,否,在,兼,,
以西,yi3xi1,否,否,否,否,否,在,处,,
以下,yi3xia4,否,否,否,否,否,在,处,,
右,you4,否,,,否,,,处,,~派/~下方
右边,you4bian5,否,否,,,,"在,朝",处,,
右面,you4mian4,否,否,,,,"在,朝",处,,
正中,zheng4zhong1,否,否,,,,在,处,,往~靠拢
之后,zhi1hou4,否,否,否,否,否,在,兼,,第三排~
之际,zhi1ji4,否,否,否,否,否,在,时,,在春节来临~
之间,zhi1jian1,,否,否,否,否,在,兼,,前后~/一周~完成任务
之内,zhi1nei4,否,否,否,否,否,在,兼,,5米~/两天~
之前,zhi1qian2,否,否,否,否,否,在,兼,,
之上,zhi1shang4,否,否,否,否,否,在,处,,
之外,zhi1wai4,否,否,否,否,否,在,兼,,几小时~
之下,zhi1xia4,否,否,否,否,否,在,处,,
之中,zhi1zhong1,否,否,否,否,否,在,兼,,两天~
中,zhong1,否,,否,否,否,在,兼,,~上/~下/雨~
中部,zhong1bu4,否,否,,,,在,处,,
中层,zhong1ceng2,否,否,,,,在,处,,
中间,zhong1jian1,否,否,,,,"在,朝",兼,,
左,zuo3,否,,,否,,,处,a,~上方
左边,zuo3bian5,否,否,,,,"在,朝",处,,
左侧,zuo3ce4,否,否,,,,"在,朝",处,,
左面,zuo3mian4,否,否,,,,"在,朝",处,,
