词语,全拼音,词性,主语,宾语,谓语,定语,状语,补语,兼类,备注
奥运,ao4yun4,JN,主,宾,,定,,,,奥林匹克运动会
北航,bei3hang2,JN,主,宾,,定,,,,北京航空航天大学
党政军,dang3zheng4jun1,JN,主,宾,,定,,,,指党的领导部门、行政部门和军事部门
德智体,de2zhi4ti3,JN,主,,,,,,,德育、智育、体育:~全面发展
电大,dian4da4,JN,主,宾,,定,,,,电视大学
妇联,fu4lian2,JN,主,宾,,定,,,,妇女联合会
港澳,gang3ao4,JN,主,宾,,定,,,,香港和澳门
工农兵,gong1nong2bing1,JN,主,宾,,定,,,,指工人、农民、士兵
广交会,guang3jiao1hui4,JN,主,宾,,定,,,,广州交易会
函大,han2da4,JN,主,宾,,定,,,,函授大学
计委,ji4wei3,JN,主,宾,,定,,,,计划委员会
纪委,ji4wei3,JN,主,宾,,定,,,,纪律检查委员会
教委,jiao4wei3,JN,主,宾,,定,,,,教育委员会
京九,jing1jiu3,JB,,,,定,,,,指北京到九龙的铁路
经贸,jing1mao4,JB,,,,定,,,,经济贸易:~组织
军体,jun1ti3,JN,主,宾,,定,,,,军事体育:~活动
科委,ke1wei3,JN,主,宾,,定,,,,科学技术委员会
老弱病残,lao3ruo4bing4can2,JN,主,宾,,定,,,,老人、体弱者、病人、残疾人的总称
联大,lian2da4,JN,主,宾,,定,,,,联合大学
马列,ma3lie4,JN,,宾,,定,,,,马克思、列宁主义:学~
农大,nong2da4,JN,主,宾,,定,,,,农业大学
欧美,ou1mei3,JN,主,宾,,定,,,,欧洲和美洲
七大,qi1da4,JN,主,宾,,定,,,,中国共产党第七次全国代表大会
青藏,qing1zang4,JB,,,,定,,,,指青海至西藏
人大,ren2da4,JN,主,宾,,定,,,,人民代表大会或中国人民大学
三好,san1hao3,JN,主,宾,,定,,,,身体好、学习好、工作好:评选~/~学生
陕甘宁,shan3gan1ning2,JN,主,宾,,定,,,,陕西、甘肃、宁夏
省直,sheng3zhi2,JB,,,,定,,,,~机关
双抢,shuang1qiang3,JN,主,宾,,定,,,,指抢收、抢种
体工队,ti3gong1dui4,JN,主,宾,,定,,,,体育工作队
文革,wen2ge2,JN,主,宾,,定,,,,文化大革命
文联,wen2lian2,JN,主,宾,,定,,,,文学艺术界联合会
亚太,ya4tai4,JB,,,,定,,,,亚洲和太平洋
夜大,ye4da4,JN,主,宾,,定,,,,夜大学
邮展,you2zhan3,JN,主,宾,,定,,,,邮票展览
幼教,you4jiao4,JN,主,宾,,定,,,,幼儿教育
远南,yuan3nan2,JB,,,,定,,,,远东和南太平洋
政企,zheng4qi3,JN,主,,,,,,,行政和企业:~要分开
政审,zheng4shen3,JV,主,宾,谓,定,,,,政治审查
职大,zhi2da4,JN,主,宾,,定,,,,职业大学
中共,zhong1gong4,JN,主,宾,,定,,,,中国共产党
中纪委,zhong1ji4wei3,JN,主,宾,,定,,,,中国共产党中央纪律检查委员会
中西,zhong1xi1,JN,主,宾,,定,,,,中国和西洋:~文化/~结合/学贯~
总参,zong3can1,JN,主,宾,,定,,,,中国人民解放军总参谋部
足协,zu2xie2,JN,主,宾,,定,,,,足球协会
