词语,全拼音,词性,句首,主语,宾语,谓语,定语,状语,补语,兼类,备注
爱财如命,ai4cai2ru2ming4,LV,,,宾,谓,定,,,,~的人
巴黎公社,ba1li2gong1she4,LN,,主,宾,,定,,,,
保守主义,bao3shou3zhu3yi4,LN,,主,宾,,定,,,,
编译程序,bian1yi4cheng2xu4,LN,,主,宾,,定,,,,
哺乳动物,bu3ru3dong4wu4,LN,,主,宾,,定,,,,
不冷不热,bu4leng3bu4re4,LV,,,,谓,定,状,,,
豺狼虎豹,chai2lang2hu3bao4,LN,,主,宾,,,,,,
城市贫民,cheng2shi4pin2min2,LN,,主,宾,,定,,,,
吃闭门羹,chi1bi4men2geng1,LV,,,宾,谓,定,,,,也有~的时候
吃后悔药,chi1hou4hui3yao4,LV,,,宾,谓,定,,,,
春夏秋冬,chun1xia4qiu1dong1,LN,,主,宾,,定,,,,
雌雄同株,ci2xiong2tong2zhu1,LV,,主,宾,谓,定,,,,无花果~
大脖子病,da4bo2zi5bing4,LN,,主,宾,,定,,,,
代数方程,dai4shu4fang1cheng2,LN,,主,宾,,定,,,,
低气压区,di1qi4ya1qu1,LN,,主,宾,,定,,,,
第三国际,di4san1guo2ji4,LN,,主,宾,,定,,,,
多快好省,duo1kuai4hao3sheng3,LN,,主,宾,,定,状,,,~的标准/需要~/~是衡量一切工作好坏的标准之一
反咬一口,fan3yao3yi1kou3,LV,,,宾,谓,,,,,
分兵把口,fen1bing1ba3kou3,LV,,,,谓,,,,,
风雪交加,feng1xue3jiao1jia1,LV,,,,谓,定,,,,
干脆利落,gan1cui4li4luo5,LA,,,,谓,定,状,补,,他的回答~/回答得~
钢化玻璃,gang1hua4bo1li2,LN,,主,宾,,定,,,,
工农联盟,gong1nong2lian2meng2,LN,,主,宾,,定,,,,
狗屁不通,gou3pi4bu4tong1,LA,,,,谓,定,,补,,写得~
故地重游,gu4di4chong2you2,LV,,,宾,谓,定,,,,打算~/有一种~的感觉/~的时候
光杆司令,guang1gan1si1ling4,LN,,主,宾,,定,,,,
滚珠轴承,gun3zhu1zhou2cheng2,LN,,主,宾,,定,,,,
过冬作物,guo4dong1zuo4wu4,LN,,主,宾,,定,,,,
毫不犹豫,hao2bu4you2yu4,LD,,,,,,状,,,"他~地说:""我去!"""
横说竖说,heng2shuo1shu4shuo1,LV,,,,谓,,,,,
红十字会,hong2shi2zi4hui4,LN,,主,宾,,定,,,,
胡搅蛮缠,hu2jiao3man2chan2,LV,,,宾,谓,定,状,,,~地说
欢呼雀跃,huan1hu1que4yue4,LV,,,,谓,定,,,,
鸡肠鼠肚,ji1chang2shu3du3,LV,,,宾,谓,定,,,,这人~/~的家伙
计时工资,ji4shi2gong1zi1,LN,,主,宾,,定,,,,~方式
减头去尾,jian3tou2qu4wei3,LV,,,宾,谓,定,状,,,~地说/引用别人的话不能~/~的做法
简政放权,jian3zheng4fang4quan2,LV,,,宾,谓,定,,,,
尽职尽责,jin4zhi2jin4ze2,LA,,,宾,谓,定,状,补,,他干事~/工作做得~
经济昆虫,jing1ji4kun1chong2,LN,,主,宾,,定,,,,
经济特区,jing1ji4te4qu1,LN,,主,宾,,定,,,,
拒腐防变,ju4fu3fang2bian4,LV,,,宾,谓,定,,,,~的措施
开门红,kai1men2hong2,LV,,,宾,谓,,,,,实现~
靠山吃山,kao4shan1chi1shan1,LV,,,宾,谓,定,,,,不能光有~的思想
拉帮结派,la1bang1jie2pai4,LV,,,宾,谓,定,,,,~的做法不利于团结
老大不小,lao3da4bu4xiao3,LV,,,,谓,定,,,,
雷电交加,lei2dian4jiao1jia1,LV,,,,谓,定,,,,
连锁反应,lian2suo3fan3ying4,LN,,主,宾,,,,,,产生~
马日事变,ma3ri4shi4bian4,LN,,主,宾,,定,,,,
满堂红,man3tang2hong2,LV,,,宾,谓,,,,,全面胜利;到处兴旺:考试成绩~/争取~
没心没肺,mei2xin1mei2fei4,LV,,,,谓,定,,,,
民主革命,min2zhu3ge2ming4,LN,,主,宾,,定,,,,属于~
磨嘴皮,mo2zui3pi2,LV,,,宾,谓,,,,,他喜欢~
木头疙瘩,mu4tou5ge1da5,LN,,主,宾,,定,,,,
闹笑话,nao4xiao4hua5,LV,,,宾,谓,定,,,,~的时候也有
排忧解难,pai2you1jie3nan4,LV,,,,谓,,,,,
破罐破摔,po4guan4po4shuai1,LV,,主,宾,谓,,,,,~会被同学看不起
迄今为止,qi4jin1wei2zhi3,LD,首,,,,,状,,,
轻言细语,qing1yan2xi4yu3,LV,,,宾,谓,,状,,,她~地说/她说话~
穷追猛打,qiong2zhui1meng3da3,LV,,,宾,谓,,,,,
绕弯子,rao4wan1zi5,LV,,,宾,谓,,,,,他说话~
热胀冷缩,re4zhang4leng3suo1,LV,,,,谓,定,,,,
少不了,shao3bu5liao3,LV,,,,谓,,,,,
舍己为公,she3ji3wei4gong1,LV,,,宾,谓,定,,,,
深耕细作,shen1geng1xi4zuo4,LV,,,宾,谓,定,,,,"~的方法,值得推广"
生儿育女,sheng1er2yu4nv3,LV,,,宾,谓,定,,,,"为了~/都是~的人了,还这么不懂事"
圣诞老人,sheng4dan4lao3ren2,LN,,主,宾,,定,,,,
十月革命,shi2yue4ge2ming4,LN,,主,宾,,定,,,,
使不得,shi3bu5de5,LV,,,,谓,,,,,
受不了,shou4bu5liao3,LA,,,,谓,,,补,,冻得~
数九寒冬,shu3jiu3han2dong1,LN,,主,宾,,定,,,,~人们都穿着厚厚的棉衣
耍无赖,shua3wu2lai4,LV,,,宾,谓,定,,,,
说不上,shuo1bu5shang4,LV,,,,谓,,,,,"~好,也~不好"
送人情,song4ren2qing2,LV,,,宾,谓,,,,,
坛坛罐罐,tan2tan2guan4guan4,LN,,主,宾,,,,,,
挑大梁,tiao3da4liang2,LV,,,宾,谓,定,,,,
听风是雨,ting1feng1shi4yu3,LV,,,宾,谓,,,,,
拖三拉四,tuo1san1la1si4,LV,,,宾,谓,定,,,,这人工作总是~/他是一个~的人/~的工作作风
王母娘娘,wang2mu3niang2niang5,LN,,主,宾,,定,,,,
胃蛋白酶,wei4dan4bai2mei2,LN,,主,宾,,定,,,,
问心有愧,wen4xin1you3kui4,LV,,,宾,谓,定,,,,这是一件~的事/感到~
无奈何,wu2nai4he2,LV,首,,,谓,,,,,"~,我只好再跑一趟"
无所谓,wu2suo3wei4,LV,,,宾,谓,定,,,,他认为~/这是~的事
五大三粗,wu3da4san1cu1,LA,,,,谓,定,,补,,"长得~/这个人~,看上去就像运动员"
下狠心,xia4hen3xin1,LV,,,宾,谓,,状,,,需要~才能办好这件事
想不到,xiang3bu5dao4,LV,,,,谓,定,,,,~的事情
想得开,xiang3de5kai1,LV,,,宾,谓,定,,,,你要~啊/~的人不多
邪门歪道,xie2men2wai1dao4,LN,,主,宾,,定,,,,这是~的本事
心中有鬼,xin1zhong1you3gui3,LV,,,,谓,,,,,
形式逻辑,xing2shi4luo2ji2,LN,,主,宾,,定,,,,
叙家常,xu4jia1chang2,LV,,,宾,谓,定,,,,喜欢~/现在不是~的时候
烟熏火燎,yan1xun1huo3liao3,LV,,,,谓,,,,,
扬名天下,yang2ming2tian1xia4,LV,,,宾,谓,定,,,,他想~/~的英雄
一连串,yi1lian2chuan4,LM,,,,,定,状,,,~的坏事/~的胜利/~地干了几件坏事
疑难重症,yi2nan4zhong4zheng4,LN,,主,宾,,定,,,,~的治疗/医治~不是一件容易的事
英姿勃勃,ying1zi1bo2bo2,LV,,,,谓,定,,,,
用人之长,yong4ren2zhi1chang2,LV,,,宾,谓,,,,,
有何不可,you3he2bu4ke3,LV,,,,谓,,,,,
有眉目,you3mei2mu5,LV,,,,谓,,,,,这件事~了
有起色,you3qi3se4,LV,,,,谓,,,,,他工作最近~
运载火箭,yun4zai4huo3jian4,LN,,主,宾,,定,,,,
整齐划一,zheng3qi2hua4yi1,LV,,,宾,谓,定,,,,做到~
正儿八经,zhengr4ba1jing1,LM,,,,,定,状,,,他~地干
知根知底,zhi1gen1zhi1di3,LV,,,,谓,定,,,,我们俩~/~的事
中等教育,zhong1deng3jiao4yu4,LN,,主,宾,,定,,,,普及~
走门串户,zou3men2chuan4hu4,LV,,,,谓,,状,,,~地推销新产品
