词语,全拼音,同形,数名,数量名,个体量词,度量词,容器量词,集体量词,种类量词,成形量词,不定量词,前接,后接,状语,重叠,临量,处所,兼类,备注
阿富汗,a1fu4han4,,,否,,,,,,,,,,,,,可,,
阿妹,a1mei4,,,否,,,,,,,,,,,,,,,
阿司匹林,a1si1pi1lin2,,,,片,,"瓶,包,盒",,,,"些,点",,,,,,,,~药片
哀思,ai1si1,,,,,,,,,片,,,,,,,,,"数词限于""一"""
癌,ai2,,,,,,,,种,,,,,,,,,,
爱称,ai4cheng1,,,,个,,,,种,,些,,,,,,,,
爱情,ai4qing2,,,否,,,,,,,,,,,,,,,
爱人,ai4ren5,,,否,,,,,,,,,,,,,,,
爱因斯坦,ai4yin1si1tan3,,,否,,,,,,,,,,,,,,,
爱滋病,ai4zi1bing4,,,否,,,,,,,,,,,,,,,
安眠药,an1mian2yao4,,,,片,,"瓶,袋,包",,种,,"些,点",,,,,,,,
安全岛,an1quan2dao3,,,,个,,,,,,些,,,,,,,,
氨,an1,,,,,"升,吨",瓶,,,,"些,点",,,,,,,,
鹌鹑,an1chun2,,,,只,,,"群,窝",种,,些,,,,,,,,
案犯,an4fan4,,,,个,,,"群,伙",,,些,,们,,,,,,贪污~
案件,an4jian4,,,,"个,桩",,,,种,,些,,,,,,,,抢劫~/刑事~
暗号,an4hao4,,,,个,,,,种,,些,,,,,,,,
暗礁,an4jiao1,,,,"个,处",,,,,"片,块",些,,,,,,,,
暗锁,an4suo3,,,,"个,把",,,,种,,些,,,,,,,,
暗语,an4yu3,,,,句,,,,种,段,些,,,,,,,,
傲气,ao4qi4,,,,,,,,种,股,"些,点",,,,,,,a,
八宝菜,ba1bao3cai4,,,,,"斤,克,公斤,吨,千克","包,盒,瓶,袋",批,种,,"些,点",,,,,,,,镇江~
八哥,ba1ge5,,,,"个,只",,,对,,,些,,儿,,,,,,
八音盒,ba1yin1he2,,,,个,,,,种,,些,,,,,,,,
巴黎,ba1li2,,,否,,,,,,,,,,,,,可,,
巴掌,ba1zhang5,,数,,个,,,,,,,,,,,,,,打了一~
芭蕾舞,ba1lei3wu3,,,,,,,组,,段,,,,,,,,,
疤痕,ba1hen2,,,,"个,条",,,,,"道,片",些,,,,,,,,
把柄,ba3bing3,,,,个,,,,,,些,,,,,,,,
把戏,ba3xi4,,,,"个,出",,,套,,,些,,,,,,,,
爸爸,ba4ba5,,,,个,,,,,,,,们,,,,,,"他有两个~,一个是生父一个是养父/你~"
罢免权,ba4mian3quan2,,,否,,,,,,,,,,,,,,,
霸权,ba4quan2,,,否,,,,,,,,,,,,,,,~主义
白菜,bai2cai4,,,,棵,"吨,千克,克,斤,亩,公斤","筐,盘,碗",批,种,"堆,片","些,点",,,,,,,,
白炽灯,bai2chi4deng1,,,,个,,,,,,些,,,,,,,,
白果,bai2guo3,,,,,"斤,公斤,千克,克","盒,袋",,,堆,"些,点",,,,,,,,
白话文,bai2hua4wen2,,,,篇,,,,,段,些,,,,,,,,
白酒,bai2jiu3,,,,,"斤,吨,千克,两","瓶,杯",,种,滴,"些,点",,,,,,,,
白开水,bai2kai1shui3,,,,,,"杯,桶,碗",,,,"些,点",,,,,,,,
白兰花,bai2lan2hua1,,,,"朵,棵,株",,篮,,,"束,串",些,,,,,,,,
白鲢,bai2lian2,,,,条,"斤,吨,千克,公斤","车,筐",,,,些,,,,,,,,
白面儿,bai2mianr4,,,,,"克,公斤,千克","包,袋,箱",,,,"些,点",,,,,,,,指毒品海洛因
白皮松,bai2pi2song1,,,,"棵,株",,,,,排,些,,,,,,,,
白日梦,bai2ri4meng4,,,否,,,,,,,,,,,,,,,
白薯,bai2shu3,,,,个,"吨,斤,千克","车,筐",,种,"堆,块","些,点",,,,,,,,植物根茎
白糖,bai2tang2,,,,,"斤,吨,千克,克","瓶,罐",,种,撮,"些,点",,,,,,,,
白杨,bai2yang2,,,,"棵,株",,,,,"排,片",些,,,,,,,,
白云,bai2yun2,,,,,,,,,片,"些,点",,,,,,,,
白纸,bai2zhi3,,,,"张,页",吨,车,,,"叠,摞,沓","些,点",,,,,,,,
白字,bai2zi4,,,,个,,,,,,些,,,,,,,,
百分号,bai3fen1hao2,,,,个,,,,,,,,,,,,,,
百合,bai3he2,1,,,"棵,株","亩,公顷",,,,"片,排","些,点",,,,,,,,植物:~花
百合,bai3he2,2,,,,"斤,公斤,克,千克",袋,,,,"些,点",,,,,,,,这种植物的鳞茎
百灵,bai3ling2,,,,只,,,"群,对",,,些,,,,,,,,
百姓,bai3xing4,,,,,,,,,,些,,,,,,,,
百褶裙,bai3zhe3qun2,,,,条,,,,种,,些,,,,,,,,
柏油,bai3you2,,,,,吨,桶,,,,"些,点",,,,,,,,
摆设,bai3she5,,,,件,,,套,种,,些,,,,,,,,
败类,bai4lei4,,,,个,,,群,,,些,,,,,,,,
扳手,ban1shou5,,,,"个,把",,,套,种,,些,,,,,,,,
班,ban1,,数,,个,,,,,,些,,"子,长",,,是,,q,培训~/一~学生/三~纪律最好
班级,ban1ji2,,,,个,,,,,,些,,,,,,,,做主语、宾语必加定语
班组,ban1zu3,,,,个,,,,,,些,,长,,,,,,
斑马,ban1ma3,,,,"匹,个",,,"群,对",,,些,,,,,,,,
板凳,ban3deng4,,,,"张,个",,,,种,排,些,,,,,,,,
板栗,ban3li4,1,,,"棵,株","亩,公顷",,,种,"片,排",些,,,,,,,,植物
板栗,ban3li4,2,,,颗,"吨,斤,千克","袋,筐",,,"把,堆","些,点",,,,,,,,果实
板鸭,ban3ya1,,,,只,"斤,吨,千克","盘,碗",,,块,"些,点",,,,,,,,南京~
版画,ban3hua4,,,,"幅,张",,,,种,,些,,,,,,,,
版权,ban3quan2,,,否,,,,,,,,,,,,,,,
办法,ban4fa3,,,,个,,,套,种,,"些,点",,,,,,,,
办公室,ban4gong1shi4,,,,"个,间",,,,,,些,,,,,,可,,信访~
半成品,ban4cheng2pin3,,,,"个,件","吨,克,千克,公斤,斤","箱,盒,车",批,种,堆,"些,点",,,,,,,,
半导体,ban4dao3ti3,,,,,,,,种,,些,,,,,,,,硅~
半岛,ban4dao3,,,,个,,,,,,些,,,,,,,,
半径,ban4jing4,,,,条,,,,,,,,,,,,,,
伴侣,ban4lv3,,,,"个,名",,,对,,,,,,,,,,,
帮派,bang1pai4,,,,个,,,,,,些,,,,,,,,
帮手,bang1shou5,,,,个,,,"群,伙,帮",,,些,,,,,,,,
榜样,bang3yang4,,,,个,,,,种,,些,,,,,,,,学习~
棒球,bang4qiu2,,,,"只,个",,,,,,些,,,,,,,,打了一场~
磅秤,bang4cheng4,,,,台,,,,种,,些,,,,,,,,
包,bao1,,,,个,,,,种,,些,,子,,,,,vq,布~
包袱,bao1fu5,,,,个,,,,种,块,些,,,,,,,,~皮儿/思想~
包裹,bao1guo3,,,,个,,车,,种,堆,些,,,,,,,v,
包厢,bao1xiang1,,,,"间,个",,,,,,些,,,,,,,,
包装,bao1zhuang1,,,,,,,,种,,些,,,,,,,v,产品~/~价格
包子,bao1zi5,,,,个,"斤,两,克,千克","盘,袋",,种,,"些,点",,,,,,,,
宝贝,bao3bei4,,,,"件,个",,"盒,箱",群,种,,些,,儿,,,,,,
宝石,bao3shi2,,,,"粒,颗,枚",克拉,盒,,种,块,些,,,,,,,,
保镖,bao3biao1,,,,"个,位,名",,,群,,,些,,们,,,,,,
保管员,bao3guan3yuan2,,,,"个,位,名",,,群,种,,些,,们,,,,,,
保健操,bao3jian4cao1,,,,节,,,套,种,,些,,,,,,,,
保姆,bao3mu3,,,,"个,位,名",,,群,,,些,,们,,,,,,
保险柜,bao3xian3gui4,,,,"个,只",,,,种,,些,,,,,,,,
保障,bao3zhang4,,,,,,,,种,,些,,,,,,,v,
堡垒,bao3lei3,,,,"个,座",,,,,,,,,,,,,,战斗~
报表,bao4biao3,,,,"本,张",,,份,"种,类","叠,摞,沓",些,,,,,,,,
报酬,bao4chou5,,数,,,元,,"份,笔",种,,"些,点",,,,,,,,劳动~/他得到50万~
报告,bao4gao4,,,,"个,篇",,,份,,叠,些,,,,,,,v,研究~
报刊,bao4kan1,,,,,,,份,"种,类",摞,些,,,,,,,,
报社,bao4she4,,,,家,,,,,,些,,,,,,可,,
报纸,bao4zhi3,,,,张,,,份,种,"叠,摞",些,,,,,,,,
抱负,bao4fu4,,,否,,,,,,,,,,,,,,,
暴力,bao4li4,,,否,,,,,,,,,,,,,,,
杯子,bei1zi5,,,,"只,个",,,套,种,,些,,,,,,,,喝水~
悲剧,bei1ju4,,,,"出,个",,,,,段,些,,,,,,,,
碑,bei1,,,,"个,块",,,,,,些,,,,,,,,纪念~
北京,bei3jing1,,,,,,,,,,,,,,,,可,,
北美洲,bei3mei3zhou1,,,否,,,,,,,,,,,,,可,,
贝壳,bei4ke2,,,,"个,只",,"盒,袋",,种,"堆,把",些,,,,,,,,
备忘录,bei4wang4lu4,,,,"个,本,项",,,份,,,些,,,,,,,,
备注,bei4zhu4,,,,"条,页",,,,,段,些,,,,,,,,
背包,bei4bao1,,,,个,,,,种,,些,,,,,,,,
背景,bei4jing3,,,,个,,,,种,,"些,点",,,,,,,,历史~
背心,bei4xin1,,,,件,,,,种,,些,,,,,,,,
背影,bei4ying3,,,,个,,,,,,,,,,,,,,
被告,bei4gao4,,,,"个,名",,,,,,些,,,,,,,,
被套,bei4tao4,,,,"个,床",,,,,,些,,,,,,,,
被子,bei4zi5,,,,"条,床",,,,种,,些,,,,,,,,
蓓蕾,bei4lei3,,,,"朵,个",,,,,串,些,,,,,,,,
本家,ben3jia1,,,,"个,位",,,,,,些,,们,,,,,,
本金,ben3jin1,,数,,,元,,笔,,,"些,点",,,,,,,,
本科,ben3ke1,,,否,,,,,,,,,,,,,,,
本末,ben3mo4,,,否,,,,,,,,,,,,,,,
本事,ben3shi5,,,,,,,套,种,,"些,点",,,,,,,,本领:谋生~/他有~
本质,ben3zhi4,,,否,,,,,,,,,,,,,,,看~/~特征
本子,ben3zi5,,,,个,,,,种,,些,,,,,,,,
绷带,beng1dai4,,,,"条,根",米,,,,卷,些,,,,,,,,
鼻梁,bi2liang2,,,否,,,,,,,,,"儿,子",,,,,,
鼻子,bi2zi5,,,否,,,,,,,,,,,,,,,
匕首,bi3shou3,,,,"把,个",,,批,种,,些,,,,,,,,
比例,bi3li4,,,,,,,,种,,,,,,,,,,
比赛,bi3sai4,,,,项,,,,种,,些,,,,,,,v,"观看~/今天有~/一场(盘,局……)~"
比喻,bi3yu4,,,,个,,,,,,些,,,,,,,v,
比重,bi3zhong4,,,否,,,,,,,,,,,,,,,测~
笔,bi3,,,,"支,管",,盒,,"种,类",把,些,,,,,,,q,动~
笔法,bi3fa3,,,,,,,,种,,,,,,,,,,
笔画,bi3hua4,,,否,,,,,,,,,,,,,,,
笔记,bi3ji4,,,,"本,篇,页",,,,,"段,堆","些,点",,,,,,,v,"老人口述,请人~下来,整理成文"
笔记本,bi3ji4ben3,,,,"个,本",,,,种,"摞,叠",些,,,,,,,,
笔名,bi3ming2,,,,个,,,,,,些,,,,,,,,
笔试,bi3shi4,,,否,,,,,,,,,,,,,,,采用~
笔误,bi3wu4,,,,处,,,,,,些,,,,,,,,
笔者,bi3zhe3,,,否,,,,,,,,,,,,,,,
币制,bi4zhi4,,,,,,,,种,,,,,,,,,,
必要性,bi4yao4xing4,,,否,,,,,,,,,,,,,,,
闭门羹,bi4men2geng1,,,否,,,,,,,,,,,,,,,吃了一回~
蓖麻,bi4ma2,,,,"棵,株","亩,公顷",,,,片,些,,,,,,,,植物
弊病,bi4bing4,,,,,,,,种,,些,,,,,,,,
壁灯,bi4deng1,,,,盏,,,组,种,排,些,,,,,,,,
壁画,bi4hua4,,,,幅,,,组,种,,些,,,,,,,,
壁纸,bi4zhi3,,,,张,,,,种,卷,些,,,,,,,,
避风港,bi4feng1gang3,,,,"个,处",,,,,,,,,,,,,,
边界,bian1jie4,,,,条,,,,,段,,,,,,,,,
边缘,bian1yuan2,,,否,,,,,,,,,,,,,,b,崩溃~
编辑,bian1ji2,,,,"个,位",,,群,,,些,,们,,,,,v,
编者案,bian1zhe3an4,,,,"篇,则",,,,,段,些,,,,,,,,
编制,bian1zhi4,,,,,,,,种,,,,,,,,,v,人员~/~施工方案(v)
蝙蝠,bian1fu2,,,,只,,,群,种,,些,,,,,,,,
鞭炮,bian1pao4,,,,个,,盒,,种,"串,挂",些,,,,,,,,
扁豆,bian3dou4,1,,,"棵,株","亩,公顷",,,,片,"些,点",,,,,,,,植物
扁豆,bian3dou4,2,,,,"斤,公斤,克,千克","筐,盘",,,堆,"些,点",,,,,,,,果实
便饭,bian4fan4,,,否,,,,,,,,,,,,,,,"可与""顿""搭配:一顿~"
便笺,bian4jian1,,,,"张,本",,,,,叠,些,,,,,,,,
便条,bian4tiao2,,,,"张,个",,,,,"沓,摞",些,,,,,,,,
便宜货,pian2yi5huo4,,,,件,,包,,,堆,些,,,,,,,,
变量,bian4liang4,,,,个,,,,种,,些,,,,,,,,时间~
变压器,bian4ya1qi4,,,,"个,台",,,,种,,些,,,,,,,,降压~/可调~
辩护人,bian4hu4ren2,,,,"个,位,名",,,,,,些,,,,,,,,
辩证法,bian4zheng4fa3,,,,,,,,,,点,,,,,,,,
标本,biao1ben3,,,,"个,件",,"盒,箱",套,种,,些,,,,,,,,
标兵,biao1bing1,,,,"个,位,名",,,群,,,些,,们,,,,,,
标点,biao1dian3,,,,个,,,,种,,些,,,,,,,v,
标记,biao1ji4,,,,"个,处",,,,种,块,些,,,,,,,,
标签,biao1qian1,,,,"个,张",,,套,种,"沓,摞",些,,,,,,,,
标题,biao1ti2,,,,个,,,组,种,,些,,,,,,,,
标语,biao1yu3,,,,"条,幅,张",,,,种,,些,,,,,,,,革命~
标准,biao1zhun3,,,,"个,条,项",,,,"种,类",,些,"非,超",,,,,,a,判断~
表,biao3,1,,,"块,只",,,批,"种,类",,些,,,,,,,,手表:玩具~
