词语,全拼音,同形,主前后,补,名词,时间词,处所词,方位词,数量结构,体词短语,动词,名动词,形容词,句子,后照应词,后照应类,兼类,备注
按,an4,,兼,,名,,,,数,体,动,,,句,"说,来说",vu,v,依照:~规定去工厂实习/~旷课处理/~1斤等于500克计算
按照,an4zhao4,,兼,,名,,,,数,体,动,,,句,"说,来说",vu,,"~1磅等于9两折合,共计3斤"
把,ba3,,后,,名,时,处,方,数,体,动,名动,形,,,,qvm,~他的病治好/~里外检查一遍/你能~他怎样/~悲痛化为力量/百~斤(m)
被,bei4,,后,,名,,,,,体,,,形,,,,,他~逮捕了/~酷热折磨/他~大家选为小组长
本着,ben3zhe5,,兼,,,,,,,体,,,,,,,,"~求同存异的原则,我们坦率地交换了意见/~惩前毖后的原则教育同学"
比,bi3,,后,,名,时,处,方,数,体,动,名动,形,句,,,vn,你去~他去更合适/他~你高/产量~上月增加80%/左边~右边高
朝,chao2,,后,,名,,处,方,,体,,,,,着,u,v,窗户~南开/大家~着四化的目标前进/~窗外看
朝着,chao2zhe5,,后,,名,,处,方,,体,,,,,,,,窗户~南开/他~空中放了两枪
趁,chen4,,兼,,名,,,,,体,动,,形,句,着,u,,~亮儿赶路/~热吃了/~你有空帮我看一下稿子
趁着,chen4zhe5,,兼,,名,,,,,体,动,,形,句,,,,~有劲儿多干点儿活
乘,cheng2,,兼,,名,,,,,体,动,,形,句,,,v,"趁,就着:他~我不注意,把东西拿走了"
除,chu2,,兼,,名,时,处,方,,体,动,名动,形,句,"之外,而外,外",f,v,"~工作之外他没有别的爱好/张先生~英语外,还会俄语"
除了,chu2le5,,兼,,名,时,处,方,,体,动,名动,形,句,"以外,之外,外",f,,"~对面有人以外……/~政治,语文之外,我们还学外语,专业课"
从,cong2,,兼,,名,时,处,方,数,体,动,名动,形,句,"以后,起,到,向,往",fp,d,"自,由:~娃娃抓起/~东到西,我走了一圈/~五月到十月这种花开得很盛/~不会到会"
打,da3,,兼,,名,时,处,方,数,体,,,,句,"起,到,往,向",fp,v,"从:~我上学就走这条路/~这儿往东,我们可以走到学校/我~山东来北京"
待,dai4,,兼,,,时,,,,,,,,句,以后,f,v,"~我看完以后再还你/我~学生走了再回家/~学生走了,我再回家"
当,dang1,,兼,,名,,,,,体,,,,句,"着,之后",fu,vo,"~我回来时,他睡着了/~大家的面说吧/~我看到她,就想起我妈妈"
当着,dang1zhe5,,兼,,名,,,,,体,,,,,,,,"希望~面清点/~大家的面,我把情况介绍一下"
对,dui4,,兼,,名,,处,,,体,动,名动,,句,来说,u,vaq,"~你养病,有好处/~教育孩子有帮助"
对于,dui4yu2,,兼,,名,,处,,,体,动,名动,,句,来说,u,,"~改进工作有帮助/~公共财产,大家应该爱惜"
给,gei3,,后,,名,,处,,,体,动,,,句,,,v,我们~战士们绿化荒山提供了条件/反动统治~推翻了
根据,gen1ju4,,兼,,名,,,,,体,动,名动,,句,,,nv,"~抽血化验,他的病好了/~气象台预报,今晚有雨"
跟,gen1,,后,补,名,时,处,方,,体,动,,,句,"一样,比",av,vc,说得~真的一样/中国的气候南方~北方不一样/苏州人说话~唱歌一样好听
关于,guan1yu2,,前,,名,,,,,体,动,名动,,句,,,,"~群众兴修水利,你们有什么建议"
管,guan3,,后,,名,时,,,,体,动,,,,叫,v,vcq,~我叫小王/~八月十五叫中秋节/古人~眼睛叫目/南方人~洗澡叫冲凉
和,he2,,后,,名,时,处,方,,体,动,,,,"一样,一起",ad,cv,"对,向,跟:讲台~她一样高"
基于,ji1yu2,,前,,名,,,,,体,,,,句,,,,"根据:~以上理由,我不赞成"
及至,ji2zhi4,,前,,,时,,,,,动,,,句,,,,~中午我才吃早饭
鉴于,jian4yu2,,兼,,,,,,,体,动,,,句,,,,"~工作需要,你们就去买吧"
将,jiang1,,后,,名,,处,,数,体,动,名动,,,,,d,把:他~笔送朋友了/~屋里打扫得干干净净
叫,jiao4,,后,,名,,,,,体,,,,,,,v,被:杯子~他打破了
借,jie4,,兼,,名,,,,,体,,,,,,,v,~此机会
尽,jin3,,后,,名,,,方,数,,动,,,,,,dv,~着女同志住/~北边/~着3天把事情办好
经,jing1,,兼,,,,处,,,体,动,名动,,句,,,,"经过:~他一说/~调查,我了解了事情的真相/房间~他这么一收拾,整齐多了"
经过,jing1guo4,,兼,,,,,,,体,动,名动,,句,,,vn,"~这次会议,我们之间的分歧消除了/~反复修改,文章通顺多了"
就,jiu4,,兼,,名,,,,,体,动,,,句,"而言,来说,着",u,vdc,"~着灯光看书/~他们的专业知识来说,小李比小张掌握得好"
据,ju4,,兼,,名,,,,,体,动,名动,,句,,,,"~同名小说改编/~估计,今年产量比去年高"
