词语,全拼音,同形,个体,集体,度量,容量,种类,成形,不定,动量,时量,表序,重叠,兼类,备注
安培,an1pei2,,,,度,,,,,,,,,n,名词指人
把,ba3,1,个,,,,,,,,,,QQ,vpm,一~扇子
把,ba3,2,,,,,,形,,,,,QQ,vpm,"一~米/一~~地抓,~~分量都一样"
把,ba3,3,,,,,,,,动,,,,vpm,帮他一~
班,ban1,,个,,,,,,,,,,QQ,n,乘下一~汽车
磅,bang4,,,,度,,,,,,,,,v,
杯,bei1,,,,,容,,,,,,,QQ,,
本,ben3,,个,,,,,,,,,,QQ,rd,
笔,bi3,,,集,,,,,,,,,QQ,n,
遍,bian4,,,,,,,,,动,,,QQ,v,这篇文章我看了3~/我们的朋友~天下(v)
步,bu4,,,,,,,,,动,,,QQ,,他走了两~/一~~地走过来
部,bu4,,个,,,,,,,,,,QQ,n,
册,ce4,,个,,,,,,,,,,QQ,,
层,ceng2,,,,,,,形,,,,,QQ,,一~楼/一~布
场,chang2,A,,,,,,,,动,,,,,下了两~雨
场,chang3,B,,,,,,,,动,,,QQ,,小李跳了一~舞/我打了两~球
尺,chi3,,,,度,,,,,,,,QQ,,我用尺子一~~地量了
出,chu1,,个,,,,,,,,,,QQ,v,一~戏
串,chuan4,,,,,,,形,,,,,QQ,v,吃了两~葡萄
次,ci4,,,,,,,,,动,,,QQ,a,~~都失败了/质量太~了(a)
寸,cun4,,,,度,,,,,,,,,,
打,da2,,,集,,,,,,,,,QQ,,一~袜子
代,dai4,,,集,,,,,,,,序,QQ,v,传了三~/林则徐的5~传人
袋,dai4,,,,,容,,,,,,,QQ,,
道,dao4,1,个,,,,,,,,,,QQ,nv,3~门/一~命令
道,dao4,2,,,,,,,,动,,,QQ,nv,上了3~漆
道,dao4,3,,,,,,形,,,,,QQ,nv,一~光/过了一~~河
等,deng3,,,,,,种,,,,,,,vu,分三~/二~产品
滴,di1,,,,,,,形,,,,,QQ,v,一~~往外流
点,dian3,1,,,,,,,不,,,,QQ,nvm,表示少量:吃一~东西/吃一~~
点,dian3,2,个,,,,,,,,,,QQ,nvm,用于事项:同学们提了两~意见
点,dian3,3,,,,,,,,,时,序,,nvm,序数:3~半了
栋,dong4,,个,,,,,,,,,,QQ,,一~房屋
度,du4,1,,,度,,,,,,,,,,一~角/38~纬线/3~电
度,du4,2,,,,,,,,动,,,,,两~公演
段,duan4,,,,,,,形,,,,,QQ,,
堆,dui1,,,,,,,形,,,,,QQ,v,
队,dui4,,,集,,,,,,,,,QQ,n,
对,dui4,,,集,,,,,,,,,QQ,vap,
吨,dun1,,,,度,,,,,,,,QQ,,
顿,dun4,,,,,,,,,动,,,QQ,,一天吃三~饭/把他打了一~
发,fa1,,个,,,,,,,,,,QQ,v,一~子弹
番,fan1,,,,,,,,,动,,,,,
分,fen1,,,,,,,,,,时,序,QQ,v,3小时18~50秒
分钟,fen1zhong1,,,,,,,,,,时,,,,
份,fen4,,,集,,,,,,,,,QQ,,一~饭
封,feng1,,个,,,,,,,,,,QQ,v,
伏,fu2,,,,度,,,,,,,,,v,
幅,fu2,,个,,,,,,,,,,QQ,,
副,fu4,1,,集,,,,,,,,,QQ,b,两~手套
副,fu4,2,个,,,,,,,,,,QQ,b,两~眼镜
杆,gan3,,个,,,,,,,,,,QQ,,
个,ge4,,个,,,,,,,,,,QQ,,一~苹果
根,gen1,,个,,,,,,,,,,QQ,n,
公尺,gong1chi3,,,,度,,,,,,,,,,
公分,gong1fen1,,,,度,,,,,,,,,,
公斤,gong1jin1,,,,度,,,,,,,,,,
公里,gong1li3,,,,度,,,,,,,,,,
公顷,gong1qing3,,,,度,,,,,,,,,,我们种了5~小麦
公升,gong1sheng1,,,,度,,,,,,,,,,
股,gu3,1,,集,,,,,,,,,QQ,,一~土匪
股,gu3,2,,,,,,形,,,,,QQ,,一~线/3~绳~~一样粗
挂,gua4,1,,,,,,形,,,,,QQ,v,一~鞭炮
挂,gua4,2,个,,,,,,,,,,QQ,v,一~大车
海里,hai3li3,,,,度,,,,,,,,,,
毫克,hao2ke4,,,,度,,,,,,,,,,
毫米,hao2mi3,,,,度,,,,,,,,,,
毫升,hao2sheng1,,,,度,,,,,,,,,,
号,hao4,,,,,,,,,,,序,,,20~
户,hu4,,个,,,,,,,,,,QQ,,两~人家/~~都很富
回,hui2,1,,,,,,,,动,,,QQ,v,听过两~
回,hui2,2,个,,,,,,,,,,QQ,v,不是一~事/《红楼梦》一百二十~
会儿,huir4,,,,,,,,,,时,,,,
级,ji2,1,,,,,种,,,,,序,QQ,,3~工/5~风/他是一~~升上来的
级,ji2,2,个,,,,,,,,,,QQ,,39~台阶
集,ji2,,个,,,,,,,,,,QQ,,20~电视连续剧~~都很精彩
辑,ji2,,个,,,,,,,,,,,,这部书共6~
剂,ji4,,个,,,,,,,,,,,,一~中药
加仑,jia1lun2,,,,度,,,,,,,,,,
家,jia1,,个,,,,,,,,,,QQ,nk,一~商店
架,jia4,1,个,,,,,,,,,,QQ,v,一~飞机
架,jia4,2,,,,,,,,动,,,,v,打了一~
架次,jia4ci4,,,,,,,,,动,,,,,
间,jian1,,个,,,,,,,,,,QQ,f,3~房子/同学~(f)
件,jian4,,个,,,,,,,,,,QQ,,两~衣服
角,jiao3,,,,度,,,,,,,,,n,一~钱
节,jie2,,个,,,,,,,,,,QQ,,12~火车
届,jie4,,个,,,,,,,,,序,QQ,,第三~毕业生
斤,jin1,,,,度,,,,,,,,QQ,,一~~称
局,ju2,,,,,,,,,动,,,QQ,n,下一~棋/~~下得都很精彩
句,ju4,,个,,,,,,,,,,QQ,,
具,ju4,,个,,,,,,,,,,QQ,,一~尸体
卷,juan3,A,,,,,,形,,,,,QQ,v,一~纸
卷,juan4,B,个,,,,,,,,,,QQ,,3~毛选
卡,ka3,,,,度,,,,,,,,,,两千~热量
开,kai1,1,,,度,,,,,,,,,v,32~纸(规格)
开,kai1,2,,,度,,,,,,,,,v,24~金(规格)
棵,ke1,,个,,,,,,,,,,QQ,,
