词语,全拼音,子类,后名,后的名,后数量名,后量名,主宾,补语,状语,谓语,不,没,数,人称,排除,性,指代人,指代事物,指代时间,指代处所,指代方位,指代数量,指代行为,指代性状,指代程度,对应疑问,对应指示,兼类,备注
俺,an3,人,,,可,,,,,,,,单,一,,,人,,,,,,,,,,,,~一个人
俺们,an3men5,人,,,可,,,,,,,,复,一,,,人,,,,,,,,,,,,~三个人
本,ben3,指,,否,,,否,,,,,,,,,,,,,,,,,,,,,qd,~单位
本报,ben3bao4,指,,,,,,,,,,,,,,,,物,,,,,,,,,,,~记者
本地,ben3di4,指,,,,,,,,,,,,,,,,,,处,,,,,,,,,~资源
本国,ben3guo2,指,,,,,,,,,,,,,,,,,,处,,,,,,,,,~人力资源丰富
本刊,ben3kan1,指,,,,,,,,,,,,,,,,物,,,,,,,,,,,~宗旨
本人,ben3ren2,人,,,可,,,,,,,,单,,,,人,,,,,,,,,,,,~情况
本身,ben3shen1,指,,,,,,,,,,,,,,,人,物,,,,,,,,,,,~条件不好
彼,bi3,指,,否,,,,,,,,,,,,,人,物,,,,,,,,,,,知己知~/~地/~退我进
彼此,bi3ci3,人,否,,,,,,可,可,,,复,,,,人,,,,,,,,,,,,"~帮助/""你辛苦啦!""""~~"""
别的,bie2de5,指,,否,,,,,,,,,,,,,,物,,,,,动,,,,,,"~我不吃/游泳、跑步、跳舞等,我只喜欢游泳,~我不喜欢"
别人,bie2ren2,人,否,,,,,,,,,,兼,,,,人,,,,,,,,,,,,~的东西
此,ci3,指,,否,,,,,,,,,,,,,,,时,处,,,,,,,,,从~再也见不到他了/由~往东
此间,ci3jian1,指,否,,,,,,,,,,,,,,,,,处,,,,,,,,,"此地:~已春暖花开了/~的风土民情,我渐渐有所了解"
大伙儿,da4huor3,人,否,,,,,,,,,,复,,否,,人,,,,,,,,,,,,"告诉~/~的事,~操心"
大家,da4jia1,人,否,,,,,,,,,,复,,否,,人,,,,,,,,,,,,~小声说话
多少,duo1shao5,疑,,否,,可,,,,,,可,,,,,,,,,,数,,,,,,,~本书/~人/说过~
二者,er4zhe3,指,否,,,,,,,,,,,,,,,物,,,,,动,,,,,,~的区别
该,gai1,指,,否,,,否,,,,,,,,,,,,,,,,,,,,,v,~公司/~学生品学优良
各,ge4,指,,否,,可,,,,,,,,,,,人,物,,,,,,,,,,,~国/~人/~位同学/用户~有~的要求
各处,ge4chu4,指,,,,,,,,,,,,,,,,,,处,,,,,,,,,北京~风景景点都很美
各地,ge4di4,指,,,,,,,,,,,,,,,,,,处,,,,,,,,,祖国~/~人民都很友好
各个,ge4ge4,指,,否,,,否,,,,,,,,,,人,,,,,,,,,,,,每个:~角落/~房间/逐个:~消灭
各国,ge4guo2,指,,,,,,,,,,,,,,,,,,处,,,,,,,,,亚洲~/~人民友好往来
各界,ge4jie4,指,,否,,,否,,,,,,,,,,人,,,,,,,,,,,,~人士
各人,ge4ren2,人,,,,,,,,,,,单,,,,人,,,,,,,,,,,,~的行李自己保管
各位,ge4wei4,人,,,,,,,,,,,单,,,,人,,,,,,,,,,,,~请进来
