词语,全拼音,同形,前处,后处,在处,到处,往处,兼类,备注
半道,ban4dao4,,,,,,否,,
北国,bei3guo2,,,,,,,,
藏北,zang4bei3,,,可,,,,,"~乡下,畜牧业很发达"
藏东,zang4dong1,,,可,,,,,~边区
超低空,chao1di1kong1,,,,,否,否,,
城郊,cheng2jiao1,,,可,,,,,~上空出现了敌机
窗外,chuang1wai4,,,可,,,,,~地上长满了花草
村里,cun1li5,,,,,,,,
村头,cun1tou2,,,,,,,,
大后方,da4hou4fang1,,,,,,,,
当地,dang1di4,,,,,否,否,,
低空,di1kong1,,,,,,,,降到~飞行
敌后,di2hou4,,,,,,,,
地上,di4shang5,,可,,,,,,
地头,di4tou2,,可,,,,,,村外~
地下,di4xia4,A,,,,,,,地面之下;地层内部
地下,di4xia5,B,可,,,,,,地面上:掉在~
耳边,er3bian1,,,,,否,否,,
高空,gao1kong1,,,,,,,,"飞机到~后,再降落"
国内,guo2nei4,,,,,,,,
国内外,guo2nei4wai4,,,,,,,,
国外,guo2wai4,,,,,,,,
海里,hai3li5,,,,,,,,
海上,hai3shang5,,,,,,,,
海外,hai3wai4,,,,,,,,国外:~趣闻
后方,hou4fang1,,可,,,,,f,陕北~生产捷报不断传来
户外,hu4wai4,,,,,,,,
江北,jiang1bei3,,,可,,,,,
江南,jiang1nan2,,,可,,,,,"~乡下,水路交通四通八达"
胶东,jiao1dong1,,,可,,,,,
街上,jie1shang5,,,,,,,,
街头,jie1tou2,,,,,,,,
近处,jin4chu4,,,,,,,,
近海,jin4hai3,,,可,,,,,~上空常有海鸟飞翔
境内,jing4nei4,,,,,,,,
空中,kong1zhong1,,,,,,,,
陆上,lu4shang5,,,,,,,,
路边,lu4bian1,,,,,,,,
路上,lu4shang5,,,,,,,,
门口,men2kou3,,,,,,,,
门前,men2qian2,,,,,,,,
幕后,mu4hou4,,,,,,,,
内地,nei4di4,,,可,,,,,~乡下
南方,nan2fang1,,,可,,,,f,~边境
南国,nan2guo2,,,,,,,,
前方,qian2fang1,,,可,,,,f,
前线,qian2xian4,,,可,,,,,~上空常有敌机来侵犯
前沿,qian2yan2,,,,,,,,阵地~/~阵地/~科学
桥头,qiao2tou2,,,,,,,,
塞外,sai4wai4,,,,,,,,
上空,shang4kong1,,可,,,,,,
身边,shen1bian1,,,,,,,,
身旁,shen1pang2,,,,,,,,
身上,shen1shang5,,,,,,,,
深处,shen1chu4,,,,,,,,
市郊,shi4jiao1,,,可,,,,,~上空污染很严重
室内,shi4nei4,,,可,,,,,~地下有水
室外,shi4wai4,,,可,,,,,~地上垃圾成堆
水边,shui3bian1,,,,,,,,
天上,tian1shang5,,,,,,,,往~飞
田间,tian2jian1,,,,,,,,
头里,tou2li5,,,,,,,,往~看
途中,tu2zhong1,,,,,,否,,
外地,wai4di4,,,,,,,,
乡下,xiang1xia4,,可,,,,,,~各处
校外,xiao4wai4,,,,,,,,
心里,xin1li5,,,,,否,,,~话/别往~去
心头,xin1tou2,,,,,否,否,,
心中,xin1zhong1,,,,,否,否,,
眼里,yan3li5,,,,,,,,
眼前,yan3qian2,,,,,,否,,
野外,ye3wai4,,,,,,,,~各处
豫东,yu4dong1,,,可,,,,,~乡下干旱严重
远处,yuan3chu4,,,可,,,,,~上空出现了一道彩虹
远东,yuan3dong1,,,,,,,,
远方,yuan3fang1,,,可,,,,,往~飞去了
中空,zhong1kong1,,,,,,,,"飞行高度为1000-7000米,叫~:~飞行/~地带"
嘴边,zui3bian1,,,,,,,,往~送
