词语,全拼音,同形,义项,句末,主后,前语,后语,兼类,备注
啊,a5,1,表情,,,了,,,你不去~?
啊,a5,2,停顿,否,可,,,,"你~,不早说呢?/桃子~,葡萄~,橘子~,……她都喜欢吃"
吧,ba5,1,疑问,,,了,,,他走了~?
吧,ba5,2,祈使,,,了,,,你走~!
吧,ba5,3,停顿,否,可,,,,"就算你正确~,也该谦虚点儿"
罢了,ba4le5,,,,,,,,我不过做了我应该做的事情~
不成,bu4cheng2,,反问,,,了,,,难道算了~
呃,e5,,表赞叹或惊异,,,,,,红霞映山崖~!
就是了,jiu4shi5le5,,,,,,,,你放心走~
了,le5,,,,,,"吗,啊,吧",u,下雨~/我明白他的意思~
吗,ma5,,疑问、反问,,,了,,,他看见你了~?
嘛,ma5,1,肯定,,,了,,,有意见就提~/我已经干了~
嘛,ma5,2,停顿,否,可,,,,"这个问题要是回答不上来~,就算了/这个问题~,很简单"
呢,ne5,1,表疑问语气,,可,了,,,人~?都到那里去了?/你到哪儿去了~?
呢,ne5,2,时态,,,,,,外面下着雨~
呢,ne5,3,指明事实,,可,,,,有两千里地~
呢,ne5,4,停顿,否,可,了,,,"如今~,可比往年强多了/你要是饿了~,就自己做点吃"
呀,ya5,1,表情,,,了,,,大家快去~!/他已去了~
呀,ya5,2,停顿,否,可,,,,"今年的西瓜~,甜极了"
也罢,ye3ba4,,,,可,,,,"花~,鸟~,什么都引不起他的兴趣"
也好,ye3hao3,,,,可,,,,"同""也罢"",但语气较轻"
着呢,zhe5ne5,,肯定,,,,,,这条路难走~!
