词语,全拼音,后名,状语,后地动,补语,谓语,兼类,备注
矮墩墩,ai3dun1dun1,,,否,可,可,,他长得~[的]
安安静静,an1an1jing1jing1,,可,,可,可,,这里变得~[的]/~坐着/教室里面~
安安稳稳,an1an1wen3wen3,,可,,可,可,,~[地]过日子/生活过得~的
暗沉沉,an4chen2chen2,,,否,可,可,,天色变得~[的]
白皑皑,bai2ai2ai2,,,否,,可,,群山一片~的
白白净净,bai2bai5jing1jing1,,,否,可,可,,她的皮肤~的/这人长得~的
白不呲咧,bai2bu5ci1lie1,,,否,可,可,,这件衣服洗得~的
白花花,bai2hua1hua1,,,否,,可,,银子~的
白晃晃,bai2huang1huang1,,,否,,可,,"探照灯~的,照得大地如同白昼"
白茫茫,bai2mang1mang1,,,否,,可,,"山川,河流,树木,……一片~的"
笔直,bi3zhi2,,,,可,可,,道路~/~地走过去
碧绿,bi4lv4,,,否,,可,,春天的原野~~的
碧油油,bi4you1you1,,,否,,可,,~的豆苗
别别扭扭,bie4bie5niu1niu1,,,,可,可,,这篇文章~的/这篇稿子写得~的
冰凉,bing1liang2,,,,可,可,,"他的手~/手脚冻得~~的/衣服~地贴在身上,冷得我直发抖"
病歪歪,bing4wai1wai1,,,,,可,,他~地躺着
颤巍巍,chan4wei1wei1,,,,,可,,他~地说/他的手~的
颤悠悠,chan4you1you1,,,,,可,,"挑东西走路,扁担~的/她在钢丝上~地走着"
潮乎乎,chao2hu1hu1,,,否,可,可,,"下了十几天雨,东西变得~的"
沉甸甸,chen2dian1dian1,,,,可,可,,心里变得~的
赤裸裸,chi4luo3luo3,,,,可,可,,"他~地说……/夏天农村的小孩,全身上下~的"
臭烘烘,chou4hong1hong1,,,否,可,可,,到处~的/捂得~的
匆匆忙忙,cong1cong1mang2mang2,,可,,可,可,,他走得~
粗墩墩,cu1dun1dun1,,,否,可,可,,"小虎子长得~的,像个石柱子"
大大方方,da4da5fang1fang1,,可,,可,可,,她~地走上讲台
大咧咧,da4lie1lie1,,,,,可,,这人~
淡巴巴,dan4ba1ba1,,,否,可,可,,这碗菜煮得~[的]
端端正正,duan1duan1zheng4zheng4,,,,可,可,,这孩子的字写得~/~地坐着
短撅撅,duan3jue1jue1,,,否,可,可,,这人的头发剪得~[的]
恶狠狠,e4hen3hen3,,,,,可,,他说话~的
肥得鲁儿,fei2de5lur1,,,否,可,可,,小手~
肥滚滚,fei2gun3gun3,,,否,可,可,,这小猪长得~[的]
疯了呱几,feng1le5gua1ji1,,,,,可,,这个丫头~的
服服帖帖,fu2fu5tie1tie1,,,,可,可,,这匹野马现在变得~
干巴巴,gan1ba1ba1,,,,可,可,,他的话~的/他的文章写得~的
干瘪瘪,gan1bie1bie1,,,否,可,可,,这孩子长得~[的]
干干净净,gan1gan1jing4jing4,,可,,可,可,,~迎新年/打扫得~
干冷,gan1leng3,,,否,,可,,北方气候~~的
