词语,全拼音,同形,词类,JLH
阿,a1,,h,   1
阿富汗,a1fu4han4,,n,   1
阿妹,a1mei4,,n,   2
阿司匹林,a1si1pi1lin2,,n,   3
阿嚏,a1ti4,,o,   1
啊,a1,A,e,   1
啊,a2,B,e,   2
啊,a3,C,e,   3
啊,a4,D,e,   4
啊,a5,1,y,   1
啊,a5,2,y,   2
哎,ai1,,e,   5
哎呀,ai1ya1,,e,   6
哀愁,ai1chou2,,a,   1
哀求,ai1qiu2,,v,   1
哀伤,ai1shang1,,a,   2
哀思,ai1si1,,n,   4
哀痛,ai1tong4,,a,   3
挨,ai1,A,v,   2
挨个,ai1ge4,,d,   1
挨,ai2,B,v,   3
癌,ai2,,n,   5
呆板,ai2ban3,,a, 188
矮,ai3,,a,   4
矮墩墩,ai3dun1dun1,,z,   1
矮小,ai3xiao3,,a,   5
唉,ai4,,e,   7
爱,ai4,,v,   4
爱财如命,ai4cai2ru2ming4,,l,   1
爱称,ai4cheng1,,n,   6
爱国,ai4guo2,,a,   6
爱好,ai4hao4,,v,   5
爱情,ai4qing2,,n,   7
爱人,ai4ren5,,n,   8
爱因斯坦,ai4yin1si1tan3,,n,   9
爱滋病,ai4zi1bing4,,n,  10
碍事,ai4shi4,,a,   7
碍手碍脚,ai4shou3ai4jiao3,,i,   2
暧昧,ai4mei4,,a,   8
安,an1,,v,   6
安安静静,an1an1jing1jing1,,z,   2
安安稳稳,an1an1wen3wen3,,z,   3
安定,an1ding4,,a,   9
安分,an1fen4,,a,  10
安分守己,an1fen4shou3ji3,,i,   3
安家,an1jia1,,v,   7
安静,an1jing4,,a,  11
安乐,an1le4,,a,  12
安谧,an1mi4,,a,  13
安眠药,an1mian2yao4,,n,  11
安宁,an1ning2,,a,  14
安排,an1pai2,,v,   8
安培,an1pei2,,q,   1
安全,an1quan2,,a,  15
安全岛,an1quan2dao3,,n,  12
安然,an1ran2,,d,   2
安慰,an1wei4,,v,   9
安稳,an1wen3,,a,  16
安闲,an1xian2,,a,  17
安详,an1xiang2,,a,  18
安心,an1xin1,,a,  19
安逸,an1yi4,,a,  20
安装,an1zhuang1,,v,  10
氨,an1,,n,  13
鹌鹑,an1chun2,,n,  14
俺,an3,,r,   1
俺们,an3men5,,r,   2
按,an4,,p,   1
按部就班,an4bu4jiu4ban1,,i,   4
按理,an4li3,,d,   3
按摩,an4mo2,,v,  11
按期,an4qi1,,d,   4
按时,an4shi2,,d,   5
按照,an4zhao4,,p,   2
案,an4,,g,   1
案犯,an4fan4,,n,  15
案件,an4jian4,,n,  16
暗,an4,,a,  21
暗暗,an4an4,,d,   6
暗沉沉,an4chen2chen2,,z,   4
暗淡,an4dan4,,a,  22
暗号,an4hao4,,n,  17
暗礁,an4jiao1,,n,  18
暗示,an4shi4,,v,  12
暗算,an4suan4,,v,  13
暗锁,an4suo3,,n,  19
暗想,an4xiang3,,v,  14
暗语,an4yu3,,n,  20
暗中,an4zhong1,,d,   7
暗自,an4zi4,,d,   8
黯淡,an4dan4,,a,  23
肮脏,ang1zang5,,a,  24
昂贵,ang2gui4,,a,  25
昂首阔步,ang2shou3kuo4bu4,,i,   5
翱,ao2,,x,   1
拗口,ao4kou3,,a,  26
傲慢,ao4man4,,a,  27
傲气,ao4qi4,,n,  21
傲然,ao4ran2,,d,   9
奥妙,ao4miao4,,a,  28
奥运,ao4yun4,,j,   1
八,ba1,,m,   1
八宝菜,ba1bao3cai4,,n,  22
八哥,ba1ge5,,n,  23
八音盒,ba1yin1he2,,n,  24
八月,ba1yue4,,t,   1
巴黎,ba1li2,,n,  25
巴黎公社,ba1li2gong1she4,,l,   2
巴掌,ba1zhang5,,n,  26
扒,ba1,,v,  15
芭蕾舞,ba1lei3wu3,,n,  27
疤痕,ba1hen2,,n,  28
拔,ba2,,v,  16
拔尖,ba2jian1,,a,  29
拔苗助长,ba2miao2zhu4zhang3,,i,   6
把,ba3,,p,   3
把,ba3,,v,  17
把,ba3,1,q,   2
把,ba3,2,q,   3
把,ba3,3,q,   4
把柄,ba3bing3,,n,  29
把持,ba3chi2,,v,  18
把守,ba3shou3,,v,  19
把握,ba3wo4,,v,  20
把戏,ba3xi4,,n,  30
爸爸,ba4ba5,,n,  31
罢工,ba4gong1,,v,  21
罢了,ba4le5,,y,   6
罢免,ba4mian3,,v,  22
罢免权,ba4mian3quan2,,n,  32
霸道,ba4dao4,,a,  30
霸权,ba4quan2,,n,  33
吧,ba5,1,y,   3
吧,ba5,2,y,   4
吧,ba5,3,y,   5
白,bai2,,a,  31
白,bai2,,d,  10
白皑皑,bai2ai2ai2,,z,   5
白白,bai2bai2,,d,  11
白白净净,bai2bai5jing1jing1,,z,   6
白不呲咧,bai2bu5ci1lie1,,z,   7
白菜,bai2cai4,,n,  34
白炽灯,bai2chi4deng1,,n,  35
白搭,bai2da1,,v,  23
白果,bai2guo3,,n,  36
白花花,bai2hua1hua1,,z,   8
白话文,bai2hua4wen2,,n,  37
白晃晃,bai2huang1huang1,,z,   9
白净,bai2jing4,,a,  32
白酒,bai2jiu3,,n,  38
白开水,bai2kai1shui3,,n,  39
白兰花,bai2lan2hua1,,n,  40
白鲢,bai2lian2,,n,  41
白露,bai2lu4,,t,   2
白茫茫,bai2mang1mang1,,z,  10
白面儿,bai2mianr4,,n,  42
白皮松,bai2pi2song1,,n,  43
白日梦,bai2ri4meng4,,n,  44
白薯,bai2shu3,,n,  45
白糖,bai2tang2,,n,  46
白天,bai2tian1,,t,   3
白杨,bai2yang2,,n,  47
白云,bai2yun2,,n,  48
白纸,bai2zhi3,,n,  49
白字,bai2zi4,,n,  50
百,bai3,,m,   2
百分号,bai3fen1hao2,,n,  51
百分之,bai3fen1zhi1,,m,   3
百感交集,bai3gan3jiao1ji2,,i,   7
百合,bai3he2,1,n,  52
百合,bai3he2,2,n,  53
百灵,bai3ling2,,n,  54
百年,bai3nian2,,m,   4
百万,bai3wan4,,m,   5
百姓,bai3xing4,,n,  55
百依百顺,bai3yi1bai3shun4,,i,   8
百折不挠,bai3zhe2bu4nao2,,i,   9
百褶裙,bai3zhe3qun2,,n,  56
柏油,bai3you2,,n,  57
摆动,bai3dong4,,v,  24
摆放,bai3fang4,,v,  25
摆弄,bai3nong4,,v,  26
摆设,bai3she4,,v,  27
摆设,bai3she5,,n,  58
摆脱,bai3tuo1,,v,  28
败,bai4,,v,  29
败类,bai4lei4,,n,  59
败露,bai4lu4,,v,  30
拜访,bai4fang3,,v,  31
扳手,ban1shou5,,n,  60
班,ban1,,n,  61
班,ban1,,q,   5
班级,ban1ji2,,n,  62
班组,ban1zu3,,n,  63
般配,ban1pei4,,a,  33
颁发,ban1fa1,,v,  32
斑马,ban1ma3,,n,  64
搬动,ban1dong4,,v,  33
板凳,ban3deng4,,n,  65
板栗,ban3li4,1,n,  66
板栗,ban3li4,2,n,  67
板鸭,ban3ya1,,n,  68
版画,ban3hua4,,n,  69
版权,ban3quan2,,n,  70
办,ban4,,v,  34
办案,ban4an4,,v,  35
办法,ban4fa3,,n,  71
办公室,ban4gong1shi4,,n,  72
办理,ban4li3,,v,  36
半,ban4,,m,   6
半成品,ban4cheng2pin3,,n,  73
半导体,ban4dao3ti3,,n,  74
半岛,ban4dao3,,n,  75
半道,ban4dao4,,s,   1
半截,ban4jie2,,m,   7
半径,ban4jing4,,n,  76
半晌,ban4shang3,,m,   8
半数,ban4shu4,,m,   9
半天,ban4tian1,,m,  10
半夜,ban4ye4,,t,   4
半自动,ban4zi4dong4,,b,   1
伴侣,ban4lv3,,n,  77
拌,ban4,,v,  37
帮,bang1,,v,  38
帮忙,bang1mang2,,v,  39
帮派,bang1pai4,,n,  78
帮手,bang1shou5,,n,  79
帮助,bang1zhu4,,v,  40
榜样,bang3yang4,,n,  80
傍晚,bang4wan3,,t,   5
棒球,bang4qiu2,,n,  81
磅,bang4,,q,   6
磅秤,bang4cheng4,,n,  82
包,bao1,,n,  83
包,bao1,1,v,  41
包,bao1,2,v,  42
包,bao1,3,v,  43
包袱,bao1fu5,,n,  84
包裹,bao1guo3,,n,  85
包含,bao1han2,,v,  44
包括,bao1kuo4,,v,  45
包围,bao1wei2,,v,  46
包厢,bao1xiang1,,n,  86
包装,bao1zhuang1,,n,  87
包装,bao1zhuang1,,v,  47
包子,bao1zi5,,n,  88
剥,bao1,,v, 118
薄,bao2,,a,  34
薄脆,bao2cui4,,n, 221
薄膜,bao2mo2,,n, 222
宝贝,bao3bei4,,n,  89
宝贵,bao3gui4,,a,  39
宝石,bao3shi2,,n,  90
饱,bao3,,a,  37
饱经风霜,bao3jing1feng1shuang1,,i,  10
饱满,bao3man3,,a,  38
保镖,bao3biao1,,n,  91
保不定,bao3bu5ding4,,d,  12
保持,bao3chi2,,v,  48
保管,bao3guan3,1,v,  49
保管,bao3guan3,2,v,  50
保管员,bao3guan3yuan2,,n,  92
保护,bao3hu4,,v,  51
保健操,bao3jian4cao1,,n,  93
保留,bao3liu2,,v,  52
保密,bao3mi4,,v,  53
保姆,bao3mu3,,n,  94
保暖,bao3nuan3,,a,  40
保守主义,bao3shou3zhu3yi4,,l,   3
保卫,bao3wei4,,v,  54
保险,bao3xian3,,a,  41
保险柜,bao3xian3gui4,,n,  95
保障,bao3zhang4,,n,  96
保证,bao3zheng4,,v,  55
堡垒,bao3lei3,,n,  97
报表,bao4biao3,,n,  98
报仇,bao4chou2,,v,  56
报酬,bao4chou5,,n,  99
报答,bao4da2,,v,  57
报告,bao4gao4,,n, 100
报告,bao4gao4,,v,  58
报价,bao4jia4,,v,  59
报刊,bao4kan1,,n, 101
报名,bao4ming2,,v,  60
报社,bao4she4,,n, 102
报销,bao4xiao1,,v,  61
报效,bao4xiao4,,v,  62
报纸,bao4zhi3,,n, 103
抱,bao4,A1,v,  63
抱,bao4,A2,v,  64
抱,bao4,A3,v,  65
抱负,bao4fu4,,n, 104
抱歉,bao4qian4,,a,  42
暴动,bao4dong4,,v,  66
暴力,bao4li4,,n, 105
暴烈,bao4lie4,,a,  43
暴露,bao4lu4,,v,  67
暴虐,bao4nve4,,a,  44
暴跳如雷,bao4tiao4ru2lei2,,i,  11
暴躁,bao4zao4,,a,  45
爆发,bao4fa1,,v,  68
爆炸,bao4zha4,,v,  69
刨花,bao4hua1,,n,1982
卑鄙,bei1bi3,,a,  46
卑贱,bei1jian4,,a,  47
卑劣,bei1lie4,,a,  48
卑怯,bei1qie4,,a,  49
卑下,bei1xia4,,a,  50
杯,bei1,,q,   7
杯子,bei1zi5,,n, 106
悲,bei1,,g,   2
悲哀,bei1ai1,,a,  51
悲惨,bei1can3,,a,  52
悲观,bei1guan1,,a,  53
悲欢离合,bei1huan1li2he2,,i,  12
悲剧,bei1ju4,,n, 107
悲凉,bei1liang2,,a,  54
悲伤,bei1shang1,,a,  55
悲痛,bei1tong4,,a,  56
悲喜交集,bei1xi3jiao1ji2,,i,  13
悲壮,bei1zhuang4,,a,  57
碑,bei1,,n, 108
背,bei1,,v,  72
北,bei3,,f,   1
北边,bei3bian5,,f,   2
